wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,1,1,1000449,1,1,1000448,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1016833,1,1,1016832,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1033217,1,1,1033216,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1049601,1,1,1049600,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1065985,1,1,1065984,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1082369,1,1,1082368,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1098753,1,1,1098752,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1115137,1,1,1115136,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1131521,1,1,1131520,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1147905,1,1,1147904,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1164289,1,1,1164288,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1180673,1,1,1180672,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1197057,1,1,1197056,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1213441,1,1,1213440,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1229825,1,1,1229824,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1246209,1,1,1246208,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1262593,1,1,1262592,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1278977,1,1,1278976,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1295361,1,1,1295360,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1311745,1,1,1311744,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1328129,1,1,1328128,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1344513,1,1,1344512,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1360897,1,1,1360896,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1377281,1,1,1377280,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1393665,1,1,1393664,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1410049,1,1,1410048,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1426433,1,1,1426432,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1442817,1,1,1442816,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1459201,1,1,1459200,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1475585,1,1,1475584,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1491969,1,1,1491968,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1508353,1,1,1508352,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1524737,1,1,1524736,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1541121,1,1,1541120,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1557505,1,1,1557504,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1573889,1,1,1573888,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1590273,1,1,1590272,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1606657,1,1,1606656,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1623041,1,1,1623040,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1639425,1,1,1639424,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1655809,1,1,1655808,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1672193,1,1,1672192,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1688577,1,1,1688576,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1704961,1,1,1704960,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1721345,1,1,1721344,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1737729,1,1,1737728,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1754113,1,1,1754112,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1770497,1,1,1770496,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1786881,1,1,1786880,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1803265,1,1,1803264,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1819649,1,1,1819648,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1836033,1,1,1836032,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1852417,1,1,1852416,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1868801,1,1,1868800,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1885185,1,1,1885184,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1901569,1,1,1901568,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1917953,1,1,1917952,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1934337,1,1,1934336,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1950721,1,1,1950720,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1967105,1,1,1967104,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1983489,1,1,1983488,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,1999873,1,1,1999872,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,2016257,1,1,2016256,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,2032641,1,1,2032640,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,2049025,1,1,2049024,,15,0,0.5,0.2,0,0,0,0,0,0
